Terms,docFreq,postList
curug,17,"[13, 37, 13, 19, 19, 19, 21, 37, 21, 21, 21, 13, 16, 21, 37, 37, 31]"
cuss,1,[0]
d,1,[36]
daerah,2,"[1, 37]"
dahulu,1,[28]
dalam,2,"[19, 26]"
dan,73,"[24, 21, 27, 29, 27, 27, 27, 17, 25, 17, 29, 28, 24, 10, 10, 28, 17, 17, 28, 24, 13, 18, 18, 20, 16, 16, 33, 23, 24, 32, 24, 27, 14, 15, 30, 28, 30, 16, 31, 22, 12, 33, 26, 31, 14, 23, 27, 21, 16, 32, 16, 27, 23, 18, 20, 35, 36, 35, 2, 35, 0, 36, 34, 34, 37, 35, 4, 36, 5, 34, 5, 36, 35]"
danuwo,2,"[5, 5]"
dapat,16,"[33, 16, 4, 20, 16, 32, 37, 36, 26, 36, 18, 29, 33, 36, 22, 35]"
dari,31,"[11, 8, 12, 32, 30, 7, 6, 26, 30, 15, 9, 33, 1, 27, 37, 21, 23, 20, 24, 28, 27, 25, 19, 17, 29, 29, 17, 34, 36, 29, 37]"
datang,4,"[4, 16, 5, 15]"
dataran,1,[34]
daya,1,[5]
deh,2,"[7, 6]"
dekat,1,[20]
demak,1,[1]
demikian,2,"[21, 29]"
dengan,35,"[31, 30, 22, 36, 0, 26, 15, 23, 24, 21, 21, 26, 28, 23, 32, 27, 35, 13, 17, 31, 2, 13, 33, 34, 14, 17, 13, 13, 10, 23, 37, 28, 32, 33, 20]"
denok,1,[16]
desa,23,"[17, 30, 15, 31, 33, 16, 16, 1, 13, 16, 21, 37, 16, 20, 1, 19, 3, 25, 16, 3, 2, 14, 34]"
desawisatalerep,2,"[16, 16]"
destinasi,2,"[17, 33]"
detail,1,[21]
dewasa,3,"[23, 17, 5]"
di,82,"[14, 35, 3, 13, 31, 13, 20, 10, 28, 24, 8, 13, 10, 14, 10, 3, 21, 14, 17, 29, 34, 30, 27, 2, 14, 6, 21, 22, 36, 26, 9, 7, 25, 27, 25, 32, 26, 25, 18, 30, 3, 31, 8, 12, 25, 33, 15, 15, 0, 19, 3, 10, 22, 29, 22, 3, 11, 1, 30, 22, 36, 1, 10, 5, 6, 27, 17, 37, 34, 27, 6, 1, 15, 34, 21, 3, 3, 11, 0, 16, 20, 2]"
diadakan,1,[30]
diajak,1,[31]
diantara,2,"[24, 27]"
dibanderol,1,[28]
dibangun,3,"[22, 2, 20]"
dibeli,1,[35]
dicampur,1,[37]
dicoba,1,[28]
didalamnya,1,[35]
didatangkan,1,[15]
didesain,1,[15]
digunakan,1,[29]
diinginkan,1,[25]
dijangkau,1,[9]
dijatengaja,7,"[5, 4, 8, 6, 2, 9, 3]"
dijumpai,1,[16]
dikarenakan,1,[17]
dikatakan,1,[37]
dikenakan,1,[36]
dikenal,2,"[28, 1]"
dikunjungi,1,[34]
dilaksanakan,1,[30]
dilakukan,1,[17]
dilalui,1,[13]
dilengkapi,6,"[33, 26, 34, 23, 17, 27]"
dimana,1,[36]
dimanfaatkan,1,[30]
dinamakan,2,"[19, 37]"
dinasti,1,[29]
dingin,1,[34]
diperbolehkan,2,"[14, 14]"
dipergunakan,1,[26]
dipetik,1,[32]
dipuro,1,[1]
diragukan,1,[15]
diri,1,[8]
disamping,1,[30]
disana,1,[36]
disebut,1,[19]
disediakan,2,"[23, 22]"
disinggahi,1,[2]
disini,1,[25]
disuguhi,1,[21]
disuguhkan,1,[34]
ditempuh,2,"[27, 27]"
ditemukan,3,"[29, 37, 2]"
ditukar,1,[36]
diyakini,1,[2]
dll,1,[9]
doa,1,[22]
dolanjateng,1,[3]
drumblek,1,[16]
dua,2,"[37, 13]"
duduk,1,[22]
dukuh,3,"[2, 2, 2]"
dulu,2,"[3, 16]"
dunia,1,[15]
dusun,5,"[9, 16, 17, 9, 9]"
eco,1,[3]
ecotour,1,[16]
edu,2,"[16, 3]"
education,2,"[18, 34]"
edukasi,4,"[7, 36, 18, 26]"
effiel,1,[15]
eksotis,1,[25]
elegan,1,[27]
emang,1,[4]
ember,1,[23]
embung,1,[3]
empat,2,"[17, 23]"
eropa,5,"[35, 15, 35, 9, 15]"
event,1,[18]
exit,1,[9]
explorejateng,5,"[4, 3, 2, 8, 5]"
family,1,[28]
farm,1,[36]
fasilitas,6,"[27, 24, 28, 27, 18, 27]"
favorit,1,[23]
flying,3,"[27, 28, 34]"
follow,6,"[0, 1, 3, 2, 6, 4]"
foto,9,"[21, 25, 22, 36, 7, 25, 32, 23, 37]"
fotografi,2,"[25, 27]"
fountain,3,"[23, 23, 23]"
fountainungaran,1,[23]
fox,3,"[27, 28, 34]"
fun,1,[24]
fungsi,1,[20]
g,1,[36]
ga,1,[7]
gajah,2,"[6, 6]"
galeri,2,"[35, 33]"
gambyong,1,[16]
gangsing,1,[16]
garden,2,"[7, 7]"
gardening,1,[28]
gathering,1,[24]
gatot,1,[32]
gazibu,1,[27]
gedong,5,"[2, 4, 4, 29, 15]"
gedongsongo,7,"[11, 29, 11, 29, 11, 29, 11]"
gedung,1,[24]
gemawang,1,[19]
gepuk,1,[16]
getasan,2,"[10, 10]"
glamping,2,"[11, 10]"
gmka,2,"[12, 12]"
goa,2,"[27, 27]"
gogik,1,[31]
ground,1,[0]
gua,11,"[22, 22, 8, 8, 22, 12, 12, 12, 22, 8, 22]"
gubernur,1,[20]
gugusan,3,"[20, 27, 25]"
gula,2,"[37, 16]"
gumuk,3,"[14, 14, 14]"
gunung,10,"[23, 31, 31, 29, 17, 31, 24, 3, 1, 35]"
ha,2,"[24, 28]"
hadir,1,[16]
hal,1,[3]
hall,2,"[28, 18]"
halloween,1,[11]
hamparan,2,"[30, 27]"
hanya,5,"[17, 2, 9, 13, 13]"
harga,2,"[17, 13]"
hari,7,"[17, 27, 25, 17, 17, 25, 36]"
harus,2,"[21, 29]"
hasan,2,"[1, 1]"
heran,1,[17]
heritage,1,[2]
hidangan,1,[27]
hidup,1,[1]
hiils,1,[33]
hijau,2,"[7, 21]"
hijaunya,1,[36]
hill,4,"[11, 4, 11, 11]"
