Terms,docFreq,postList
sawah,3,"[16, 30, 33]"
sayur,1,[32]
sayuran,3,"[32, 24, 32]"
sebagai,5,"[28, 24, 1, 30, 20]"
sebelah,1,[27]
sebligo,1,[3]
sebuah,3,"[27, 26, 35]"
secangkir,1,[18]
secara,1,[30]
segar,8,"[7, 32, 24, 21, 7, 13, 32, 5]"
segarnya,2,"[13, 5]"
sehabis,1,[13]
sehari,1,[27]
sehat,1,[32]
sehingga,6,"[37, 17, 27, 37, 17, 29]"
sejak,1,[22]
sejarah,2,"[26, 26]"
sejauh,1,[27]
sejuk,3,"[33, 12, 32]"
sejuknya,1,[27]
sejumlah,1,[15]
sekali,1,[30]
sekaligus,1,[7]
sekarang,1,[14]
sekitar,11,"[34, 33, 20, 2, 21, 31, 20, 31, 37, 6, 13]"
sekitarnya,1,[6]
selain,4,"[15, 34, 32, 35]"
selalu,2,"[17, 1]"
selama,1,[31]
selasa,1,[17]
selatan,1,[5]
selengkapnya,3,"[0, 33, 34]"
selesai,1,[5]
selfie,1,[4]
selo,1,[10]
seluas,1,[14]
seluncuran,1,[10]
semarang,28,"[8, 11, 1, 6, 12, 6, 36, 30, 34, 15, 5, 34, 10, 26, 14, 2, 36, 18, 2, 16, 20, 25, 0, 18, 3, 3, 3, 17]"
sembari,1,[8]
sembilan,2,"[29, 29]"
semilir,3,"[9, 9, 9]"
semirang,2,"[31, 31]"
semua,1,[29]
semuanya,1,[4]
sendiri,2,"[27, 32]"
seni,1,[33]
senin,1,[17]
senjata,1,[26]
sensasi,1,[14]
sepakung,2,"[14, 14]"
sepeda,3,"[27, 31, 28]"
seperti,10,"[24, 16, 5, 34, 28, 36, 28, 23, 10, 27]"
seratnya,1,[19]
serta,3,"[14, 16, 15]"
seru,7,"[10, 5, 10, 9, 28, 34, 10]"
seruan,1,[10]
serunya,1,[3]
serupa,1,[2]
service,1,[18]
sesuai,1,[26]
setebal,1,[14]
setelah,1,[10]
setiap,5,"[16, 3, 17, 36, 17]"
setinggi,1,[12]
sidomukti,6,"[34, 34, 34, 34, 34, 34]"
silahkan,3,"[24, 34, 35]"
silakan,1,[16]
sindoro,1,[27]
singa,1,[15]
singkong,1,[37]
sini,7,"[11, 6, 11, 27, 1, 13, 3]"
sisemut,1,[35]
sistem,1,[20]
siwarak,5,"[17, 17, 17, 17, 17]"
skiban,3,"[10, 10, 10]"
sky,1,[10]
sobat,3,"[11, 13, 10]"
sobatwisata,5,"[4, 7, 6, 0, 5]"
songo,5,"[4, 2, 15, 4, 29]"
sopeardjo,1,[20]
sore,1,[25]
souvenir,1,[24]
soyong,1,[16]
spa,2,"[35, 18]"
space,1,[18]
spesial,2,"[3, 3]"
spot,5,"[4, 7, 9, 11, 11]"
stamina,1,[29]
stasiun,1,[20]
stop,1,[18]
strategis,1,[9]
stroberi,4,"[0, 7, 7, 7]"
suasana,2,"[35, 31]"
suasanya,1,[12]
subroto,1,[32]
subulussalam,1,[1]
suka,4,"[6, 11, 6, 31]"
sumber,3,"[21, 32, 30]"
sumbing,1,[27]
sumowono,1,[21]
sumur,1,[21]
sungai,2,"[16, 30]"
sunrise,5,"[11, 11, 16, 11, 4]"
susu,3,"[16, 36, 3]"
swafoto,1,[11]
syekh,2,"[1, 1]"
tahun,3,"[30, 20, 22]"
tajam,1,[27]
tak,3,"[14, 17, 15]"
tali,1,[19]
taman,8,"[18, 13, 15, 15, 15, 15, 15, 6]"
tamanwisatakopeng,1,[24]
tampak,1,[27]
tanah,1,[15]
tanam,1,[16]
tanaman,1,[32]
tari,4,"[16, 16, 16, 16]"
tarik,1,[5]
tau,1,[6]
tebing,1,[19]
teknologi,1,[20]
telah,2,"[15, 26]"
telomoyo,1,[27]
telp,1,[16]
teman,1,[13]
tempat,12,"[4, 33, 34, 22, 27, 36, 28, 33, 4, 2, 30, 22]"
tempo,2,"[16, 3]"
tempur,1,[26]
tenang,1,[12]
tengah,5,"[26, 26, 10, 13, 20]"
tenggelam,1,[27]
tennis,1,[18]
tepatnya,2,"[15, 26]"
terbalik,1,[11]
terbaru,2,"[6, 1]"
terbenam,1,[25]
terbesar,1,[13]
terbit,2,"[25, 27]"
terbuat,1,[37]
tercinta,2,"[26, 10]"
terdapat,9,"[21, 32, 36, 22, 1, 23, 21, 32, 16]"
terjaga,1,[17]
terjangkau,3,"[28, 17, 13]"
terjun,9,"[19, 37, 31, 16, 13, 21, 13, 3, 21]"
terlepas,1,[12]
terletak,15,"[24, 34, 27, 36, 32, 29, 34, 30, 31, 35, 26, 22, 2, 20, 33]"
tersayang,1,[7]
tersebut,3,"[30, 30, 2]"
tersedia,2,"[27, 13]"
tersendiri,1,[8]
tersisa,1,[2]
tertentu,1,[29]
tetapi,1,[17]
the,8,"[23, 36, 23, 36, 36, 23, 36, 7]"
theme,1,[13]
tidak,5,"[2, 17, 14, 17, 15]"
tiga,1,[14]
tiket,5,"[28, 17, 28, 28, 28]"
tiketnya,1,[36]
tinggi,3,"[34, 22, 22]"
tingkatan,1,[21]
tirto,5,"[17, 17, 17, 17, 17]"
tlogo,3,"[27, 27, 27]"
tlogoresort,1,[27]
toko,2,"[33, 33]"
tokoh,2,"[1, 37]"
tol,1,[9]
top,3,"[10, 10, 10]"
topografi,1,[31]
total,1,[14]
tour,1,[3]
touring,1,[13]
tourism,2,"[18, 18]"
tracking,2,"[31, 31]"
tradisi,1,[16]
tradisional,3,"[37, 16, 27]"
training,1,[27]
transportasi,1,[20]
travel,1,[3]
travelgram,2,"[3, 2]"
tree,3,"[10, 10, 10]"
trip,1,[2]
tripadvisor,1,[36]
tropis,1,[27]
tubuh,1,[2]
tujuh,1,[21]
tumpah,1,[23]
tuntang,2,"[27, 8]"
udah,1,[4]
udara,3,"[32, 34, 7]"
udaranya,1,[33]
ujung,1,[5]
umat,2,"[12, 22]"
umbul,5,"[34, 34, 34, 34, 34]"
umbulsidomukti,1,[34]
ungaran,14,"[20, 31, 33, 17, 35, 17, 29, 1, 35, 31, 27, 21, 3, 23]"
unik,1,[27]
untuk,29,"[31, 15, 24, 35, 13, 1, 13, 25, 17, 29, 4, 6, 17, 27, 14, 2, 16, 23, 35, 33, 3, 21, 27, 36, 33, 34, 34, 21, 20]"
us,1,[24]
utama,4,"[27, 17, 20, 27]"
utara,1,[27]
valley,4,"[36, 36, 36, 36]"
view,2,"[27, 27]"
vila,2,"[33, 33]"
villa,2,"[33, 9]"
villajoglo,1,[33]
wafat,2,"[1, 22]"
wahana,11,"[17, 24, 5, 23, 9, 9, 34, 23, 14, 10, 28]"
waktu,1,[25]
warisan,1,[20]
warnai,1,[6]
waterpark,10,"[28, 24, 24, 24, 23, 28, 24, 5, 28, 28]"
watu,3,"[6, 6, 3]"
website,4,"[16, 18, 27, 33]"
websitenya,1,[24]
wib,1,[17]
willem,1,[20]
wisata,37,"[1, 13, 16, 1, 13, 3, 18, 3, 34, 13, 18, 6, 21, 3, 7, 34, 26, 26, 9, 16, 32, 16, 16, 5, 15, 16, 1, 4, 30, 17, 29, 36, 31, 30, 2, 31, 24]"
wisatareligi,1,[8]
wisatasemarang,5,"[6, 3, 5, 2, 4]"
wisatawan,2,"[30, 26]"
woro,2,"[5, 5]"
wuih,1,[6]
ya,4,"[11, 10, 7, 13]"
yaaa,1,[2]
yaitu,5,"[14, 37, 28, 16, 17]"
yakni,1,[29]
yang,90,"[1, 37, 2, 36, 26, 25, 21, 26, 29, 29, 29, 29, 16, 27, 16, 22, 17, 16, 16, 16, 27, 27, 30, 15, 30, 25, 30, 30, 17, 28, 21, 21, 21, 27, 27, 20, 27, 20, 29, 19, 19, 18, 22, 28, 28, 18, 28, 27, 19, 27, 23, 23, 14, 34, 35, 26, 35, 6, 35, 35, 35, 35, 5, 36, 24, 36, 26, 25, 3, 34, 9, 26, 31, 31, 32, 32, 13, 23, 12, 9, 32, 31, 11, 33, 33, 14, 14, 33, 34, 12]"
yesus,1,[22]
youghurt,1,[36]
yuk,3,"[3, 0, 6]"
ziarah,1,[22]
zipcoaster,1,[10]
zona,1,[17]
