Freq,Posting_ptr,Terms_ptr
1,[3],6846
2,"[3, 2]",6852
3,"[10, 10, 10]",6862
1,[2],6866
1,[36],6870
1,[27],6881
1,[2],6887
1,[21],6892
1,[23],6897
2,"[27, 8]",6903
1,[4],6910
3,"[32, 34, 7]",6914
1,[33],6919
1,[5],6927
2,"[12, 22]",6932
5,"[34, 34, 34, 34, 34]",6936
1,[34],6941
14,"[20, 31, 33, 17, 35, 17, 29, 1, 35, 31, 27, 21, 3, 23]",6955
1,[27],6962
29,"[31, 15, 24, 35, 13, 1, 13, 25, 17, 29, 4, 6, 17, 27, 14, 2, 16, 23, 35, 33, 3, 21, 27, 36, 33, 34, 34, 21, 20]",6966
1,[24],6971
4,"[27, 17, 20, 27]",6973
1,[27],6978
4,"[36, 36, 36, 36]",6983
2,"[27, 27]",6989
2,"[33, 33]",6993
2,"[33, 9]",6997
1,[33],7002
2,"[1, 22]",7012
11,"[17, 24, 5, 23, 9, 9, 34, 23, 14, 10, 28]",7017
1,[25],7023
1,[20],7028
1,[6],7035
10,"[28, 24, 24, 24, 23, 28, 24, 5, 28, 28]",7041
3,"[6, 6, 3]",7050
4,"[16, 18, 27, 33]",7054
1,[24],7061
1,[17],7071
1,[20],7074
37,"[1, 13, 16, 1, 13, 3, 18, 3, 34, 13, 18, 6, 21, 3, 7, 34, 26, 26, 9, 16, 32, 16, 16, 5, 15, 16, 1, 4, 30, 17, 29, 36, 31, 30, 2, 31, 24]",7080
1,[8],7086
5,"[6, 3, 5, 2, 4]",7098
2,"[30, 26]",7112
2,"[5, 5]",7121
1,[6],7125
4,"[11, 10, 7, 13]",7129
1,[2],7131
5,"[14, 37, 28, 16, 17]",7135
1,[29],7140
90,"[1, 37, 2, 36, 26, 25, 21, 26, 29, 29, 29, 29, 16, 27, 16, 22, 17, 16, 16, 16, 27, 27, 30, 15, 30, 25, 30, 30, 17, 28, 21, 21, 21, 27, 27, 20, 27, 20, 29, 19, 19, 18, 22, 28, 28, 18, 28, 27, 19, 27, 23, 23, 14, 34, 35, 26, 35, 6, 35, 35, 35, 35, 5, 36, 24, 36, 26, 25, 3, 34, 9, 26, 31, 31, 32, 32, 13, 23, 12, 9, 32, 31, 11, 33, 33, 14, 14, 33, 34, 12]",7145
1,[22],7149
1,[36],7154
3,"[3, 0, 6]",7162
1,[22],7165
1,[10],7171
1,[17],7181
